,round_epochs,val_loss,val_accuracy,val_fmeasure,loss,accuracy,fmeasure,lr,batch_size,first_hidden,round_epochs,second_hidden,third_hidden
0,18,0.05070571324284802,0.9807668328285217,0.6995092630386353,0.039062570279047755,0.9846369624137878,0.7643886208534241,0.0003124999930150807,128,300,18,100,50
1,18,0.0506860202581937,0.9809649586677551,0.7064109444618225,0.03838951522789668,0.9849083423614502,0.7672523856163025,0.00015624999650754035,128,400,18,200,50
2,20,0.05083617216987836,0.9808658361434937,0.7123745679855347,0.036743413858657765,0.9853653907775879,0.780866801738739,0.00015624999650754035,256,300,20,200,32
3,20,0.05125547502223141,0.9807666540145874,0.6995063424110413,0.038628165718400775,0.9848281741142273,0.7654697895050049,7.812499825377017e-05,128,300,20,200,32
4,18,0.050796611156748245,0.9809547066688538,0.7023431658744812,0.037903223273811196,0.9852122664451599,0.7725396752357483,0.00015624999650754035,128,300,18,100,32
5,20,0.05142431837797968,0.9808976650238037,0.7039064168930054,0.03685717126815071,0.9855017066001892,0.7777705788612366,7.812499825377017e-05,128,400,20,100,50
6,20,0.05119254069326067,0.9810330271720886,0.7111190557479858,0.036517215322451224,0.9855998158454895,0.7787964940071106,0.00015624999650754035,128,300,20,100,32
7,18,0.05135558356517687,0.9808348417282104,0.7023600935935974,0.037492453210588576,0.9851672649383545,0.7733417749404907,0.0003124999930150807,128,300,18,200,50
8,20,0.0506104461205579,0.9808346629142761,0.7034090757369995,0.037741793495026675,0.9852426052093506,0.7753849625587463,0.00015624999650754035,128,300,20,100,50
9,18,0.05093166191208499,0.9807668924331665,0.7068648934364319,0.03781938596524776,0.984979510307312,0.7763488292694092,0.0003124999930150807,256,300,18,200,50
10,20,0.05248016774206163,0.9809858202934265,0.7088847160339355,0.03539149895284255,0.9860489964485168,0.7869428992271423,0.00015624999650754035,128,400,20,200,32
11,18,0.05040127455338441,0.9809651970863342,0.7094584703445435,0.037796959726055505,0.9851449131965637,0.7781522274017334,0.00015624999650754035,256,300,18,200,32
12,18,0.05200227774818564,0.9809231758117676,0.7130951285362244,0.035447002411123994,0.9859452247619629,0.7916253209114075,0.0003124999930150807,256,400,18,200,32
13,20,0.05145460569055947,0.980980634689331,0.7163392305374146,0.035474387824487745,0.9860013127326965,0.7916240692138672,0.00015624999650754035,256,400,20,200,50
14,20,0.05079773285175386,0.9809859991073608,0.7154203653335571,0.036737799822715446,0.9855664372444153,0.7850138545036316,3.9062499126885086e-05,256,400,20,100,50
15,20,0.05174056780951329,0.9808969497680664,0.7118186354637146,0.03544377767405445,0.9861138463020325,0.7927936315536499,7.812499825377017e-05,256,400,20,100,32
